time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1637	1.39603	5.21552	0.272668	0.2764	radar	4.29848	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3915	1.47085	5.19411	0.290555	0.283514	lidar	1.04371	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6256	1.57599	5.15965	0.329913	0.333211	radar	4.11038	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8589	1.5912	5.13286	0.30874	0.277898	lidar	2.06215	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1222	1.64296	5.1489	0.303211	0.246155	radar	1.93854	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4029	1.67098	5.16934	0.2826	0.195918	lidar	2.06831	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6371	1.73461	5.14225	0.291512	0.199329	radar	1.21058	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8712	1.79157	5.1259	0.293254	0.187715	lidar	0.554161	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1221	1.88258	5.14839	0.307927	0.191024	radar	1.06466	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3702	1.8978	5.13106	0.281994	0.138903	lidar	0.996846	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6242	1.95263	5.1457	0.275608	0.114638	radar	0.911841	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8231	2.09611	5.12382	0.328418	0.184748	lidar	3.38843	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0829	2.19788	5.16773	0.338951	0.176445	radar	3.46922	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2844	2.345	5.14951	0.38707	0.234829	lidar	2.4212	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4661	2.51518	5.10089	0.455945	0.334384	radar	10.5493	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7145	2.61804	5.11633	0.462848	0.319222	lidar	0.768439	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9333	2.73992	5.10708	0.485804	0.333089	radar	0.200743	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1596	2.88623	5.12037	0.515093	0.350552	lidar	0.321922	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4086	2.98371	5.14728	0.500857	0.287543	radar	1.7265	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6218	3.0508	5.10885	0.489001	0.25244	lidar	2.50199	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.849	3.19845	5.1373	0.507633	0.249508	radar	3.80993	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0507	3.39159	5.15337	0.558239	0.303414	lidar	0.982701	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2592	3.56304	5.15766	0.596447	0.343492	radar	2.32788	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4693	3.74591	5.17703	0.631328	0.367516	lidar	0.572447	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6829	3.87861	5.17104	0.636715	0.347709	radar	1.02864	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9062	4.01549	5.17417	0.640981	0.328881	lidar	0.301484	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1001	4.18848	5.16298	0.678756	0.376648	radar	1.67251	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.2963	4.37913	5.17838	0.7102	0.393285	lidar	0.322057	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5072	4.53933	5.1875	0.717419	0.370161	radar	0.737713	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6873	4.70812	5.17507	0.738653	0.374981	lidar	0.416374	16.6039	4.67344	16.613	4.5849	3.74	3.28438
